qlbase_method,usage_type,metric_type,metric_display_name,category,notes
is_null,range_filter,,,Filter predicate,Returns {x} IS NULL; used in null-check filter predicates
is_not_null,range_filter,,,Filter predicate,Returns {x} IS NOT NULL; used in not-null filter predicates
not_in_values,range_filter,,,Filter predicate,Builds {x} NOT IN (…) predicate; used in custom filters
not_in_expression,range_filter,,,Filter predicate,NOT IN template; used in filter predicate construction
or_expression,range_filter,,,Filter predicate,Combines two expressions with OR; used in custom filter construction
literal_regex,range_filter,,,Filter predicate,Escapes a regex pattern for use as a SQL literal
literal_table_from_value_list,range_filter,,,Filter predicate,Creates an inline table from a value list via UNION ALL; used for IN/NOT IN lists
get_is_eq_expression,comparison_monitor,,,Comparison monitor,{x} = {y}; used in threshold and custom rule evaluations
get_is_gt_expression,comparison_monitor,,,Comparison monitor,{x} > {y}; used in threshold comparisons
get_is_gte_expression,comparison_monitor,,,Comparison monitor,{x} >= {y}; used in threshold comparisons
get_is_lt_expression,comparison_monitor,,,Comparison monitor,{x} < {y}; used in range checks
get_is_lte_expression,comparison_monitor,,,Comparison monitor,{x} <= {y}; used in range checks
get_is_inside_range_expression,comparison_monitor,,,Comparison monitor,{x} >= lower AND {x} <= upper; used in custom rule evaluation
get_is_outside_range_expression,comparison_monitor,,,Comparison monitor,{x} < lower OR {x} > upper; used in custom rule evaluation
get_date_diff_func,comparison_monitor,,,Comparison monitor,Date/timestamp difference; used in time-axis comparison queries
get_field_for_timestamp_comparison,comparison_monitor,,,Comparison monitor,Prepares a timestamp field for comparison monitor time-axis queries
unpivot,comparison_monitor,,,Comparison monitor,Unpivots columns to rows; used in comparison monitor value transformations
any_value,comparison_monitor,,,Comparison monitor,ANY_VALUE() aggregate; used in comparison monitor GROUP BY queries
get_classification_expression,ai_observability,,,AI observability,LLM classification prompt expression; unlocks classification metric type
get_sentiment_expression,ai_observability,,,AI observability,LLM sentiment analysis expression; unlocks sentiment metric type
get_prompt_expression,ai_observability,,,AI observability,LLM prompt evaluation expression; unlocks prompt evaluation metric type
get_formatted_prompt_expression,ai_observability,,,AI observability,Formatted LLM prompt with JSON schema; unlocks answer_relevance / helpfulness / task_completion / language_match / clarity / prompt_adherence / semantic_similarity
get_formatted_prompt_json_field_expression,ai_observability,,,AI observability,Extracts a JSON field from a formatted prompt result
get_sql_evaluation_expression,ai_observability,,,AI observability,SQL-based evaluation scoring expression
get_custom_output_type_cast,ai_observability,,,AI observability,SQL cast for AI output types (string/number/boolean); used in prompt evaluation transforms
get_first_n,ai_observability,,,AI observability,First N elements of an array field; used in formatted prompt expressions with field_range_map
get_last_n,ai_observability,,,AI observability,Last N elements of an array field; used in formatted prompt expressions with field_range_map
get_llm_udf_prefix,ai_observability,,,AI observability,UDF prefix for LLM queries (Athena/Presto UDF declarations); required for agent monitor data health queries
build_map_access_expression,ai_observability,,,AI observability,Accesses a key in a JSON/map column (attr_map['key']); used in agent monitor attribute extraction
build_explode_struct_query,ai_observability,,,AI observability,Explodes a struct/JSON column into key-value rows; used in agent monitor schema validation
is_json_field,json_schema,,,JSON schema monitor,Checks if a field type is JSON; used in JSON schema query validation
is_valid_json_expression,json_schema,,,JSON schema monitor,Expression validating that a field contains valid JSON
get_json_attribute_value,json_schema,,,JSON schema monitor,Extracts and casts a JSON attribute value; used in JSON schema attribute queries
max_time_func,rca,,,RCA / sampling,MAX() over a temporal field; used in freshness/time-based RCA queries
get_table_history,rca,,,RCA / sampling,Historical table operations (time-travel); not currently called — reserved for future use
substring_func,prerequisite,,,Query assembly,Substring extraction; abstract method for dialect-specific implementation
